text,sentiment
这个app还可以，不算卡,Neutral
界面设计一般，不算难看,Neutral
操作还可以，不算太复杂,Neutral
售后服务一般，态度还行,Neutral
这个品牌听说过，应该还行,Neutral
质量一般，不算特别好也不算差,Neutral
这个颜色还可以，不算难看,Neutral
手感一般，不算特别好,Neutral
这个味道还可以，不算难吃,Neutral
服务态度一般，不算特别好,Neutral
这个设计还可以，不算难看,Neutral
用起来还可以，不算特别顺手,Neutral
这个效果一般，不算特别好,Neutral
性价比一般，不算特别高,Neutral
这个体验感一般，不算特别好,Neutral
质量一般，不算特别好,Neutral
这个功能还可以，基本够用,Neutral
用着还行，不算特别放心,Neutral
这个服务还可以，不算特别好,Neutral
这个产品真的太好用了，爱了爱了,Positive
超级满意，超出预期太多,Positive
这个必须给五星好评,Positive
性价比爆表，太划算了,Positive
客服小姐姐超级温柔,Positive
物流神速，第二天就到了,Positive
包装精美，细节满分,Positive
用了一个月，一点问题都没有,Positive
这个功能太贴心了，设计得很人性化,Positive
强烈推荐，绝对不会后悔,Positive
这个app界面太美了，设计感十足,Positive
操作简单到爆，连我妈都会用,Positive
售后服务太棒了，问题秒解决,Positive
这个品牌值得信赖，质量有保障,Positive
质量超级好，用了半年都没问题,Positive
这个颜色太美了，搭配得很和谐,Positive
手感绝了，摸起来超级舒服,Positive
这个味道太棒了，好吃到停不下来,Positive
服务太专业了，态度超级好,Positive
这个设计太有创意了，很独特,Positive
用起来超级顺手，很满意,Positive
这个效果太惊艳了，比想象中还要好,Positive
性价比太高了，物超所值,Positive
这个体验感太棒了，很享受,Positive
质量确实很好，值得购买,Positive
这个功能太实用了，解决了很多问题,Positive
用着很放心，质量绝对有保障,Positive
这个服务太贴心了，很感动,Positive
太垃圾了，完全就是坑人的,Negative
这个质量差到爆，根本不能用,Negative
客服态度恶劣到极点，气死我了,Negative
浪费我的时间和金钱，一点都不好用,Negative
这个价格买这种东西，太亏了,Negative
物流慢得像蜗牛，等得我都要疯了,Negative
包装烂得要死，里面都坏了,Negative
这个功能就是摆设，一点用都没有,Negative
用了一天就坏了，质量太差了,Negative
这个app卡得要死，根本用不了,Negative
界面设计得乱七八糟，丑死了,Negative
操作复杂得要命，一点都不友好,Negative
售后服务推三阻四，态度差到极点,Negative
这个品牌太不靠谱了，再也不买了,Negative
用了几天就出问题，质量太差了,Negative
这个颜色丑到爆，一点都不好看,Negative
手感差到极点，摸起来很不舒服,Negative
这个味道难吃到想吐，太恶心了,Negative
服务态度差到极点，一点都不专业,Negative
这个设计太丑了，一点创意都没有,Negative
用起来超级不顺手，很失望,Negative
这个效果差到极点，完全不行,Negative
性价比低到爆，一点都不值得,Negative
这个体验感差到极点,Negative
质量确实不行，绝对不推荐购买,Negative
这个功能太鸡肋了，一点用都没有,Negative
用着一点都不放心，质量没保障,Negative
这个服务差到极点，很生气,Negative
还行吧，不算特别好也不算差,Neutral
一般般，没什么特别的,Neutral
凑合着用，马马虎虎,Neutral
这个价格，这个质量，还可以,Neutral
物流速度一般，不算快也不算慢,Neutral
包装还行，没有破损,Neutral
这个功能还可以，基本够用,Neutral
用了一段时间，暂时没出问题,Neutral
这个app还可以，不算卡,Neutral
界面设计一般，不算难看,Neutral
操作还可以，不算太复杂,Neutral
售后服务一般，态度还行,Neutral
这个品牌听说过，应该还行,Neutral
质量一般，不算特别好也不算差,Neutral
这个颜色还可以，不算难看,Neutral
手感一般，不算特别好,Neutral
这个味道还可以，不算难吃,Neutral
服务态度一般，不算特别好,Neutral
这个设计还可以，不算难看,Neutral
用起来还可以，不算特别顺手,Neutral
这个效果一般，不算特别好,Neutral
性价比一般，不算特别高,Neutral
这个体验感一般，不算特别好,Neutral
质量一般，不算特别好,Neutral
这个功能还可以，基本够用,Neutral
用着还行，不算特别放心,Neutral
这个服务还可以，不算特别好,Neutral
这个产品真的绝了，太好用了,Positive
超级满意，超出预期太多,Positive
这个必须给满分好评,Positive
性价比太高了，太划算了,Positive
客服小姐姐人美心善,Positive
物流速度快得惊人,Positive
包装精美，细节满分,Positive
用了一个月，一点问题都没有,Positive
这个功能太贴心了，设计得很人性化,Positive
强烈推荐，绝对不会后悔,Positive
这个app界面太美了，设计感十足,Positive
操作简单到爆，连我妈都会用,Positive
售后服务太棒了，问题秒解决,Positive
这个品牌值得信赖，质量有保障,Positive
质量超级好，用了半年都没问题,Positive
这个颜色太美了，搭配得很和谐,Positive
手感绝了，摸起来超级舒服,Positive
这个味道太棒了，好吃到停不下来,Positive
服务太专业了，态度超级好,Positive
这个设计太有创意了，很独特,Positive
用起来超级顺手，很满意,Positive
这个效果太惊艳了，比想象中还要好,Positive
性价比太高了，物超所值,Positive
这个体验感太棒了，很享受,Positive
质量确实很好，值得购买,Positive
这个功能太实用了，解决了很多问题,Positive
用着很放心，质量绝对有保障,Positive
这个服务太贴心了，很感动,Positive
太坑了，完全就是骗人的,Negative
这个质量差到爆，根本不能用,Negative
客服态度恶劣到极点，气死我了,Negative
浪费我的时间和金钱，一点都不好用,Negative
这个价格买这种东西，太亏了,Negative
物流慢得像蜗牛，等得我都要疯了,Negative
包装烂得要死，里面都坏了,Negative
这个功能就是摆设，一点用都没有,Negative
用了一天就坏了，质量太差了,Negative
这个app卡得要死，根本用不了,Negative
界面设计得乱七八糟，丑死了,Negative
操作复杂得要命，一点都不友好,Negative
售后服务推三阻四，态度差到极点,Negative
这个品牌太不靠谱了，再也不买了,Negative
用了几天就出问题，质量太差了,Negative
这个颜色丑到爆，一点都不好看,Negative
手感差到极点，摸起来很不舒服,Negative
这个味道难吃到想吐，太恶心了,Negative
服务态度差到极点，一点都不专业,Negative
这个设计太丑了，一点创意都没有,Negative
用起来超级不顺手，很失望,Negative
这个效果差到极点，完全不行,Negative
性价比低到爆，一点都不值得,Negative
这个体验感差到极点,Negative
质量确实不行，绝对不推荐购买,Negative
这个功能太鸡肋了，一点用都没有,Negative
用着一点都不放心，质量没保障,Negative
这个服务差到极点，很生气,Negative
还行吧，不算特别好也不算差,Neutral
一般般，没什么特别的,Neutral
凑合着用，马马虎虎,Neutral
这个价格，这个质量，还可以,Neutral
物流速度一般，不算快也不算慢,Neutral
包装还行，没有破损,Neutral
这个功能还可以，基本够用,Neutral
用了一段时间，暂时没出问题,Neutral
这个app还可以，不算卡,Neutral
界面设计一般，不算难看,Neutral
操作还可以，不算太复杂,Neutral
售后服务一般，态度还行,Neutral
这个品牌听说过，应该还行,Neutral
质量一般，不算特别好也不算差,Neutral
这个颜色还可以，不算难看,Neutral
手感一般，不算特别好,Neutral
这个味道还可以，不算难吃,Neutral
服务态度一般，不算特别好,Neutral
这个设计还可以，不算难看,Neutral
用起来还可以，不算特别顺手,Neutral
这个效果一般，不算特别好,Neutral
性价比一般，不算特别高,Neutral
这个体验感一般，不算特别好,Neutral
质量一般，不算特别好,Neutral
这个功能还可以，基本够用,Neutral
用着还行，不算特别放心,Neutral
这个服务还可以，不算特别好,Neutral
这个产品真的太好用了，爱了爱了,Positive
超级满意，超出预期太多,Positive
这个必须给五星好评,Positive
性价比爆表，太划算了,Positive
客服小姐姐超级温柔,Positive
物流神速，第二天就到了,Positive
包装精美，细节满分,Positive
用了一个月，一点问题都没有,Positive
这个功能太贴心了，设计得很人性化,Positive
强烈推荐，绝对不会后悔,Positive
这个app界面太美了，设计感十足,Positive
操作简单到爆，连我妈都会用,Positive
售后服务太棒了，问题秒解决,Positive
这个品牌值得信赖，质量有保障,Positive
质量超级好，用了半年都没问题,Positive
这个颜色太美了，搭配得很和谐,Positive
手感绝了，摸起来超级舒服,Positive
这个味道太棒了，好吃到停不下来,Positive
服务太专业了，态度超级好,Positive
这个设计太有创意了，很独特,Positive
用起来超级顺手，很满意,Positive
这个效果太惊艳了，比想象中还要好,Positive
性价比太高了，物超所值,Positive
这个体验感太棒了，很享受,Positive
质量确实很好，值得购买,Positive
这个功能太实用了，解决了很多问题,Positive
用着很放心，质量绝对有保障,Positive
这个服务太贴心了，很感动,Positive
太垃圾了，完全就是坑人的,Negative
这个质量差到爆，根本不能用,Negative
客服态度恶劣到极点，气死我了,Negative
浪费我的时间和金钱，一点都不好用,Negative
这个价格买这种东西，太亏了,Negative
物流慢得像蜗牛，等得我都要疯了,Negative
包装烂得要死，里面都坏了,Negative
这个功能就是摆设，一点用都没有,Negative
用了一天就坏了，质量太差了,Negative
这个app卡得要死，根本用不了,Negative
界面设计得乱七八糟，丑死了,Negative
操作复杂得要命，一点都不友好,Negative
售后服务推三阻四，态度差到极点,Negative
这个品牌太不靠谱了，再也不买了,Negative
用了几天就出问题，质量太差了,Negative
这个颜色丑到爆，一点都不好看,Negative
手感差到极点，摸起来很不舒服,Negative
这个味道难吃到想吐，太恶心了,Negative
服务态度差到极点，一点都不专业,Negative
这个设计太丑了，一点创意都没有,Negative
用起来超级不顺手，很失望,Negative
这个效果差到极点，完全不行,Negative
性价比低到爆，一点都不值得,Negative
这个体验感差到极点,Negative
质量确实不行，绝对不推荐购买,Negative
这个功能太鸡肋了，一点用都没有,Negative
用着一点都不放心，质量没保障,Negative
这个服务差到极点，很生气,Negative
还行吧，不算特别好也不算差,Neutral
一般般，没什么特别的,Neutral
凑合着用，马马虎虎,Neutral
这个价格，这个质量，还可以,Neutral
物流速度一般，不算快也不算慢,Neutral
包装还行，没有破损,Neutral
这个功能还可以，基本够用,Neutral
用了一段时间，暂时没出问题,Neutral
这个app还可以，不算卡,Neutral
界面设计一般，不算难看,Neutral
操作还可以，不算太复杂,Neutral
售后服务一般，态度还行,Neutral
这个品牌听说过，应该还行,Neutral
质量一般，不算特别好也不算差,Neutral
这个颜色还可以，不算难看,Neutral
手感一般，不算特别好,Neutral
这个味道还可以，不算难吃,Neutral
服务态度一般，不算特别好,Neutral
这个设计还可以，不算难看,Neutral
用起来还可以，不算特别顺手,Neutral
这个效果一般，不算特别好,Neutral
性价比一般，不算特别高,Neutral
这个体验感一般，不算特别好,Neutral
质量一般，不算特别好,Neutral
这个功能还可以，基本够用,Neutral
用着还行，不算特别放心,Neutral
这个服务还可以，不算特别好,Neutral
这个产品真的绝了，太好用了,Positive
超级满意，超出预期太多,Positive
这个必须给满分好评,Positive
性价比太高了，太划算了,Positive
客服小姐姐人美心善,Positive
物流速度快得惊人,Positive
包装精美，细节满分,Positive
用了一个月，一点问题都没有,Positive
这个功能太贴心了，设计得很人性化,Positive
强烈推荐，绝对不会后悔,Positive
这个app界面太美了，设计感十足,Positive
操作简单到爆，连我妈都会用,Positive
售后服务太棒了，问题秒解决,Positive
这个品牌值得信赖，质量有保障,Positive
质量超级好，用了半年都没问题,Positive
这个颜色太美了，搭配得很和谐,Positive
手感绝了，摸起来超级舒服,Positive
这个味道太棒了，好吃到停不下来,Positive
服务太专业了，态度超级好,Positive
这个设计太有创意了，很独特,Positive
用起来超级顺手，很满意,Positive
这个效果太惊艳了，比想象中还要好,Positive
性价比太高了，物超所值,Positive
这个体验感太棒了，很享受,Positive
质量确实很好，值得购买,Positive
这个功能太实用了，解决了很多问题,Positive
用着很放心，质量绝对有保障,Positive
这个服务太贴心了，很感动,Positive
太坑了，完全就是骗人的,Negative
这个质量差到爆，根本不能用,Negative
客服态度恶劣到极点，气死我了,Negative
浪费我的时间和金钱，一点都不好用,Negative
这个价格买这种东西，太亏了,Negative
物流慢得像蜗牛，等得我都要疯了,Negative
包装烂得要死，里面都坏了,Negative
这个功能就是摆设，一点用都没有,Negative
用了一天就坏了，质量太差了,Negative
这个app卡得要死，根本用不了,Negative
界面设计得乱七八糟，丑死了,Negative
操作复杂得要命，一点都不友好,Negative
售后服务推三阻四，态度差到极点,Negative
这个品牌太不靠谱了，再也不买了,Negative
用了几天就出问题，质量太差了,Negative
这个颜色丑到爆，一点都不好看,Negative
手感差到极点，摸起来很不舒服,Negative
这个味道难吃到想吐，太恶心了,Negative
服务态度差到极点，一点都不专业,Negative
这个设计太丑了，一点创意都没有,Negative
用起来超级不顺手，很失望,Negative
这个效果差到极点，完全不行,Negative
性价比低到爆，一点都不值得,Negative
这个体验感差到极点,Negative
质量确实不行，绝对不推荐购买,Negative
这个功能太鸡肋了，一点用都没有,Negative
用着一点都不放心，质量没保障,Negative
这个服务差到极点，很生气,Negative
还行吧，不算特别好也不算差,Neutral
一般般，没什么特别的,Neutral
凑合着用，马马虎虎,Neutral
这个价格，这个质量，还可以,Neutral
物流速度一般，不算快也不算慢,Neutral
包装还行，没有破损,Neutral
这个功能还可以，基本够用,Neutral
用了一段时间，暂时没出问题,Neutral
这个app还可以，不算卡,Neutral
界面设计一般，不算难看,Neutral
操作还可以，不算太复杂,Neutral
售后服务一般，态度还行,Neutral
这个品牌听说过，应该还行,Neutral
质量一般，不算特别好也不算差,Neutral
这个颜色还可以，不算难看,Neutral
手感一般，不算特别好,Neutral
这个味道还可以，不算难吃,Neutral
服务态度一般，不算特别好,Neutral
这个设计还可以，不算难看,Neutral
用起来还可以，不算特别顺手,Neutral
这个效果一般，不算特别好,Neutral
性价比一般，不算特别高,Neutral
这个体验感一般，不算特别好,Neutral
质量一般，不算特别好,Neutral
这个功能还可以，基本够用,Neutral
用着还行，不算特别放心,Neutral
这个服务还可以，不算特别好,Neutral
这个产品真的太好用了，爱了爱了,Positive
超级满意，超出预期太多,Positive
这个必须给五星好评,Positive
性价比爆表，太划算了,Positive
客服小姐姐超级温柔,Positive
物流神速，第二天就到了,Positive
包装精美，细节满分,Positive
用了一个月，一点问题都没有,Positive
这个功能太贴心了，设计得很人性化,Positive
强烈推荐，绝对不会后悔,Positive
这个app界面太美了，设计感十足,Positive
操作简单到爆，连我妈都会用,Positive
售后服务太棒了，问题秒解决,Positive
这个品牌值得信赖，质量有保障,Positive
质量超级好，用了半年都没问题,Positive
这个颜色太美了，搭配得很和谐,Positive
手感绝了，摸起来超级舒服,Positive
这个味道太棒了，好吃到停不下来,Positive
服务太专业了，态度超级好,Positive
这个设计太有创意了，很独特,Positive
用起来超级顺手，很满意,Positive
这个效果太惊艳了，比想象中还要好,Positive
性价比太高了，物超所值,Positive
这个体验感太棒了，很享受,Positive
质量确实很好，值得购买,Positive
这个功能太实用了，解决了很多问题,Positive
用着很放心，质量绝对有保障,Positive
这个服务太贴心了，很感动,Positive
太垃圾了，完全就是坑人的,Negative
这个质量差到爆，根本不能用,Negative
客服态度恶劣到极点，气死我了,Negative
浪费我的时间和金钱，一点都不好用,Negative
这个价格买这种东西，太亏了,Negative
物流慢得像蜗牛，等得我都要疯了,Negative
包装烂得要死，里面都坏了,Negative
这个功能就是摆设，一点用都没有,Negative
用了一天就坏了，质量太差了,Negative
这个app卡得要死，根本用不了,Negative
界面设计得乱七八糟，丑死了,Negative
操作复杂得要命，一点都不友好,Negative
售后服务推三阻四，态度差到极点,Negative
这个品牌太不靠谱了，再也不买了,Negative
用了几天就出问题，质量太差了,Negative
这个颜色丑到爆，一点都不好看,Negative
手感差到极点，摸起来很不舒服,Negative
这个味道难吃到想吐，太恶心了,Negative
服务态度差到极点，一点都不专业,Negative
这个设计太丑了，一点创意都没有,Negative
用起来超级不顺手，很失望,Negative
这个效果差到极点，完全不行,Negative
性价比低到爆，一点都不值得,Negative
这个体验感差到极点,Negative
质量确实不行，绝对不推荐购买,Negative
这个功能太鸡肋了，一点用都没有,Negative
用着一点都不放心，质量没保障,Negative
这个服务差到极点，很生气,Negative
还行吧，不算特别好也不算差,Neutral
一般般，没什么特别的,Neutral
凑合着用，马马虎虎,Neutral
这个价格，这个质量，还可以,Neutral
物流速度一般，不算快也不算慢,Neutral
包装还行，没有破损,Neutral
这个功能还可以，基本够用,Neutral
用了一段时间，暂时没出问题,Neutral
这个app还可以，不算卡,Neutral
界面设计一般，不算难看,Neutral
操作还可以，不算太复杂,Neutral
售后服务一般，态度还行,Neutral
这个品牌听说过，应该还行,Neutral
质量一般，不算特别好也不算差,Neutral
这个颜色还可以，不算难看,Neutral
手感一般，不算特别好,Neutral
这个味道还可以，不算难吃,Neutral
服务态度一般，不算特别好,Neutral
这个设计还可以，不算难看,Neutral
用起来还可以，不算特别顺手,Neutral
这个效果一般，不算特别好,Neutral
性价比一般，不算特别高,Neutral
这个体验感一般，不算特别好,Neutral
质量一般，不算特别好,Neutral
这个功能还可以，基本够用,Neutral
用着还行，不算特别放心,Neutral
这个服务还可以，不算特别好,Neutral
这个产品真的绝了，太好用了,Positive
超级满意，超出预期太多,Positive
这个必须给满分好评,Positive
性价比太高了，太划算了,Positive
客服小姐姐人美心善,Positive
物流速度快得惊人,Positive
包装精美，细节满分,Positive
用了一个月，一点问题都没有,Positive
这个功能太贴心了，设计得很人性化,Positive
强烈推荐，绝对不会后悔,Positive
这个app界面太美了，设计感十足,Positive
操作简单到爆，连我妈都会用,Positive
售后服务太棒了，问题秒解决,Positive
这个品牌值得信赖，质量有保障,Positive
质量超级好，用了半年都没问题,Positive
这个颜色太美了，搭配得很和谐,Positive
手感绝了，摸起来超级舒服,Positive
这个味道太棒了，好吃到停不下来,Positive
服务太专业了，态度超级好,Positive
这个设计太有创意了，很独特,Positive
用起来超级顺手，很满意,Positive
这个效果太惊艳了，比想象中还要好,Positive
性价比太高了，物超所值,Positive
这个体验感太棒了，很享受,Positive
质量确实很好，值得购买,Positive
这个功能太实用了，解决了很多问题,Positive
用着很放心，质量绝对有保障,Positive
这个服务太贴心了，很感动,Positive
太坑了，完全就是骗人的,Negative
这个质量差到爆，根本不能用,Negative
客服态度恶劣到极点，气死我了,Negative
浪费我的时间和金钱，一点都不好用,Negative
这个价格买这种东西，太亏了,Negative
物流慢得像蜗牛，等得我都要疯了,Negative
包装烂得要死，里面都坏了,Negative
这个功能就是摆设，一点用都没有,Negative
用了一天就坏了，质量太差了,Negative
这个app卡得要死，根本用不了,Negative
界面设计得乱七八糟，丑死了,Negative
操作复杂得要命，一点都不友好,Negative
售后服务推三阻四，态度差到极点,Negative
这个品牌太不靠谱了，再也不买了,Negative
用了几天就出问题，质量太差了,Negative
这个颜色丑到爆，一点都不好看,Negative
手感差到极点，摸起来很不舒服,Negative
这个味道难吃到想吐，太恶心了,Negative
服务态度差到极点，一点都不专业,Negative
这个设计太丑了，一点创意都没有,Negative
用起来超级不顺手，很失望,Negative
这个效果差到极点，完全不行,Negative
性价比低到爆，一点都不值得,Negative
这个体验感差到极点,Negative
质量确实不行，绝对不推荐购买,Negative
这个功能太鸡肋了，一点用都没有,Negative
用着一点都不放心，质量没保障,Negative
这个服务差到极点，很生气,Negative
还行吧，不算特别好也不算差,Neutral
一般般，没什么特别的,Neutral
凑合着用，马马虎虎,Neutral
这个价格，这个质量，还可以,Neutral
物流速度一般，不算快也不算慢,Neutral
包装还行，没有破损,Neutral
